IQ,CGPA,Internship_Experience,Projects_Completed,Placement
107,6.28,No,4,No
97,5.37,No,0,No
109,5.83,No,1,No
122,5.75,Yes,1,No
96,7.69,No,2,No
96,5.32,No,0,No
123,6.58,No,2,Yes
111,8.76,No,2,Yes
92,6.33,No,5,No
108,8.6,No,1,No
93,8.9,Yes,0,No
93,6.51,No,4,No
103,9.01,Yes,1,No
71,8.4,No,2,No
74,7.31,No,2,No
91,5.8,No,3,No
84,7.54,No,0,No
104,10.01,Yes,4,No
86,8.15,No,4,Yes
78,5.56,Yes,2,No
121,8.07,Yes,3,Yes
96,7.11,Yes,3,No
101,8.22,Yes,0,No
78,9.17,Yes,2,Yes
91,7.86,Yes,2,No
101,9.45,No,2,No
82,8.86,No,0,No
105,8.48,No,4,No
90,5.33,Yes,1,No
95,9.61,Yes,3,No
90,9.58,Yes,4,No
127,6.1,No,1,No
99,7.02,No,4,No
84,6.51,No,4,No
112,9.01,Yes,4,Yes
81,9.11,Yes,4,No
103,5.97,Yes,2,No
70,9.27,No,4,No
80,5.96,Yes,1,No
102,8.86,No,1,No
111,6.98,No,3,No
102,6.39,No,5,No
98,5.51,No,0,No
95,5.89,Yes,1,No
77,8.72,Yes,1,No
89,8.16,Yes,1,No
93,5.16,Yes,1,No
115,5.14,Yes,0,No
105,5.11,No,0,No
73,8.48,Yes,5,No
104,8.15,No,4,Yes
94,5.18,Yes,5,No
89,7.89,Yes,1,No
109,5.5,No,1,No
115,9.56,No,3,Yes
113,9.38,No,3,Yes
87,8.7,No,3,No
95,9.96,No,3,No
104,8.91,No,4,Yes
114,8.73,Yes,2,Yes
92,7.65,No,3,No
97,6.17,No,3,No
83,6.06,No,0,No
82,6.3,No,5,No
112,8.1,No,1,Yes
120,5.58,No,4,No
98,6.53,Yes,1,No
115,6.87,Yes,2,No
105,6.22,No,4,No
90,7.61,No,2,No
105,9.12,Yes,1,No
123,9.11,No,0,Yes
99,8.5,No,3,Yes
123,7.51,No,1,No
60,7.6,Yes,4,No
112,6.04,No,3,Yes
101,9.44,No,4,Yes
95,6.16,No,2,No
101,5.85,Yes,4,No
70,8.5,No,0,No
96,5.78,No,2,No
105,6.69,No,5,No
122,5.41,No,5,No
92,6.11,No,1,No
87,6.22,No,3,No
92,5.57,No,3,No
113,8.77,No,0,No
104,9.39,Yes,4,Yes
92,7.12,No,1,No
107,9.85,Yes,5,No
101,5.58,Yes,4,No
114,6.76,No,5,No
89,5.99,No,4,No
95,8.52,Yes,0,No
94,7.48,No,5,No
78,8.41,No,2,Yes
104,9.26,No,5,Yes
103,7.77,Yes,2,No
100,7.65,No,0,No
96,9.19,Yes,0,No
78,6.54,Yes,0,No
93,6.74,No,4,No
94,8.54,No,5,No
87,7.96,No,5,No
97,6.31,No,4,No
106,6.74,Yes,1,No
128,7.7,No,0,No
102,7.5,No,4,No
103,5.89,Yes,2,No
98,9.57,No,5,Yes
71,9.07,Yes,5,No
99,7.62,No,0,No
100,8.23,Yes,2,Yes
136,9.09,No,3,Yes
97,5.44,Yes,1,No
104,5.88,Yes,3,No
99,7.5,No,1,No
82,8.76,No,0,No
117,5.32,No,5,No
111,10.37,No,1,No
111,7.46,No,4,No
86,7.23,Yes,2,No
121,6.74,No,5,No
78,6.1,No,4,No
108,8.87,No,0,No
132,9.6,No,3,Yes
85,7.42,No,2,No
91,10.17,No,0,No
101,9.07,No,4,Yes
92,6.92,No,4,No
76,8.66,No,1,No
101,6.96,No,1,No
84,7.3,Yes,3,No
107,5.59,Yes,1,No
86,8.5,No,1,No
123,5.45,Yes,1,No
88,9.5,No,3,Yes
95,9.16,No,0,No
112,6.19,No,5,No
81,6.41,No,2,No
103,7.22,Yes,0,No
119,8.28,No,5,Yes
75,6.39,No,5,No
102,7.62,Yes,0,No
103,6.08,No,0,No
111,5.25,Yes,4,No
81,4.97,No,2,No
80,5.66,No,2,No
107,8.93,Yes,4,No
104,9.45,No,5,No
103,7.14,No,4,No
105,7.97,No,5,No
89,5.39,Yes,1,No
103,7.95,No,4,No
104,5.81,No,3,No
89,8.31,No,4,No
127,9.32,Yes,1,No
107,6.42,No,4,No
82,8.94,No,3,No
109,5.47,Yes,4,No
85,6.63,No,5,No
111,5.79,No,0,No
117,7.04,Yes,2,No
87,5.77,Yes,3,No
114,6.75,Yes,3,No
106,7.25,Yes,3,No
112,6.09,Yes,5,Yes
128,8.52,Yes,0,Yes
96,9.13,Yes,0,No
88,6.69,Yes,2,No
86,6.12,Yes,1,No
87,5.95,No,2,No
98,9.74,No,3,No
105,8.23,No,3,No
104,7.41,Yes,3,No
112,6.07,Yes,2,No
100,7.64,Yes,1,No
121,6.15,Yes,1,No
96,10.07,No,2,No
140,9.11,No,5,Yes
109,5.33,Yes,3,No
87,7.64,No,2,No
83,6.34,No,2,No
107,6.58,No,4,No
96,9.17,Yes,4,No
110,7.75,Yes,0,No
107,6.53,No,0,No
98,6.32,Yes,2,No
87,9.15,No,4,No
77,7.85,Yes,3,No
93,6.99,Yes,0,No
112,6.22,Yes,3,No
103,6.62,Yes,3,No
81,9.47,No,0,No
102,7.43,Yes,5,No
105,6.8,Yes,2,No
86,7.22,No,4,No
102,8.94,Yes,0,No
100,6.96,Yes,1,No
82,5.97,Yes,1,No
105,8.25,Yes,3,No
108,7.96,No,1,No
116,8.5,Yes,3,Yes
115,9.52,No,5,Yes
79,7.04,No,5,No
85,5.58,No,5,No
107,10.02,No,5,No
107,7.33,Yes,5,No
107,7.71,No,4,No
157,8.53,No,0,No
108,7.95,No,0,No
117,6.52,No,4,No
114,8.97,Yes,3,Yes
109,9.21,Yes,5,Yes
95,7.77,Yes,2,No
111,7.81,No,1,No
88,6.07,No,5,No
96,5.7,No,4,No
92,6.81,No,1,No
101,6.13,Yes,2,No
134,10,Yes,3,Yes
71,9.13,No,5,No
110,8.58,No,1,No
75,7.21,No,3,No
92,5.99,Yes,5,No
116,9.69,No,2,Yes
100,7.14,Yes,3,No
